kod;delka;datum;cas;teplota;oblast;jedinec;instar;poznamka;fotka
267;0.494;25.6.2014 10:30;193:00:00;18;Bestvina;BSW18001;l3;;8
268;0.49;26.6.2014 12:00;218:30:00;18;Bestvina;BSW18001;l3;;9
269;0.49;27.6.2014 15:00;245:30:00;18;Bestvina;BSW18001;l3;;10
270;0.47;28.6.2014 15:00;269:30:00;18;Bestvina;BSW18001;l3;;11
272;0.508;30.6.2014 10:00;312:30:00;18;Bestvina;BSW18001;l3;;13
273;0.513;1.7.2014 11:00;337:30:00;18;Bestvina;BSW18001;l3;;14
292;0.501;23.6.2014 10:00;144:30:00;18;Bestvina;BSW18002;l3;;7
317;0.507;28.6.2014 15:00;175:15:00;18;Bestvina;BSW18003;l3;;6
318;0.526;29.6.2014 10:00;194:15:00;18;Bestvina;BSW18003;l3;;7
319;0.502;30.6.2014 10:00;218:15:00;18;Bestvina;BSW18003;l3;;8
320;0.512;1.7.2014 11:00;243:15:00;18;Bestvina;BSW18003;l3;;9
321;0.503;2.7.2014 14:00;270:15:00;18;Bestvina;BSW18003;l3;;10
322;0.508;3.7.2014 14:00;294:15:00;18;Bestvina;BSW18003;l3;;11
324;0.517;5.7.2014 15:00;343:15:00;18;Bestvina;BSW18003;l3;;13
326;0.515;7.7.2014 15:00;391:15:00;18;Bestvina;BSW18003;l3;;15
344;0.545;28.6.2014 15:00;175:15:00;18;Bestvina;BSW18004;l3;;7
345;0.525;29.6.2014 10:00;194:15:00;18;Bestvina;BSW18004;l3;;8
346;0.528;30.6.2014 10:00;218:15:00;18;Bestvina;BSW18004;l3;;9
372;0.522;2.7.2014 14:00;245:30:00;18;Bestvina;BSW18005;l3;;9
373;0.533;3.7.2014 14:00;269:30:00;18;Bestvina;BSW18005;l3;;10
375;0.51;6.7.2014 11:00;338:30:00;18;Bestvina;BSW18005;l3;;12
425;0.52;6.7.2014 11:00;212:00:00;18;Bestvina;BSW18007;l3;;10
426;0.517;7.7.2014 15:00;240:00:00;18;Bestvina;BSW18007;l3;;11
427;0.523;8.7.2014 15:00;264:00:00;18;Bestvina;BSW18007;l3;;12
428;0.538;9.7.2014 15:00;288:00:00;18;Bestvina;BSW18007;l3;;13
429;0.52;10.7.2014 12:00;309:00:00;18;Bestvina;BSW18007;l3;;14
431;0.513;13.7.2014 9:30;378:30:00;18;Bestvina;BSW18007;l3;;16
432;0.512;14.7.2014 9:45;402:45:00;18;Bestvina;BSW18007;l3;;17
475;0.512;4.7.2014 15:00;168:00:00;18;Bestvina;BSW18009;l3;;8
476;0.511;5.7.2014 15:00;192:00:00;18;Bestvina;BSW18009;l3;;9
